2 januari	Svea
3 januari	Alfred, Alfrida
4 januari	Rut
5 januari	Hanna, Hannele
6 januari	Kasper, Melker, Baltsar
7 januari	August, Augusta
8 januari	Erland
9 januari	Gunnar, Gunder
10 januari	Sigurd, Sigbritt
11 januari	Jan, Jannike
12 januari	Frideborg, Fridolf
13 januari	Knut
14 januari	Felix, Felicia
15 januari	Laura, Lorentz
16 januari	Hjalmar, Helmer
17 januari	Anton, Tony
18 januari	Hilda, Hildur
19 januari	Henrik
20 januari	Fabian, Sebastian
21 januari	Agnes, Agneta
22 januari	Vincent, Viktor
23 januari	Frej, Freja
24 januari	Erika
25 januari	Paul, Pål
26 januari	Bodil, Boel
27 januari	Göte, Göta
28 januari	Karl, Karla
29 januari	Diana
30 januari	Gunilla, Gunhild
31 januari	Ivar, Joar
1 februari	Max, Maximilian
2 februari	(ingen namnsdag)Kyndelsmässodagen
3 februari	Disa, Hjördis
4 februari	Ansgar, Anselm
5 februari	Agata, Agda
6 februari	Dorotea, Doris
7 februari	Rikard, Dick
8 februari	Berta, Bert
9 februari	Fanny, Franciska
10 februari	Iris
11 februari	Yngve, Inge
12 februari	Evelina, Evy
13 februari	Agne, Ove
14 februari	Valentin
15 februari	Sigfrid
16 februari	Julia, Julius
17 februari	Alexandra, Sandra
18 februari	Frida, Fritiof
19 februari	Gabriella, Ella
20 februari	Vivianne
21 februari	Hilding
22 februari	Pia
23 februari	Torsten, Torun
24 februari	Mattias, Mats
25 februari	Sigvard, Sivert
26 februari	Torgny, Torkel
27 februari	Lage
28 februari	Maria
29 februari	(ingen namnsdag)Skottdagen
1 mars	Albin, Elvira
2 mars	Ernst, Erna
3 mars	Gunborg, Gunvor
4 mars	Adrian, Adriana
5 mars	Tora, Tove
6 mars	Ebba, Ebbe
7 mars	Camilla
8 mars	Siv
9 mars	Torbjörn, Torleif
10 mars	Edla, Ada
11 mars	Edvin, Egon
12 mars	Viktoria
13 mars	Greger
14 mars	Matilda, Maud
15 mars	Kristoffer, Christel
16 mars	Herbert, Gilbert
17 mars	Gertrud
18 mars	Edvard, Edmund
19 mars	Josef, Josefina
20 mars	Joakim, Kim
21 mars	Bengt
22 mars	Kennet, Kent
23 mars	Gerda, Gerd
24 mars	Gabriel, Rafael
25 mars	(ingen namnsdag)Marie bebådelsedag
26 mars	Emanuel
27 mars	Rudolf, Ralf
28 mars	Malkolm, Morgan
29 mars	Jonas, Jens
30 mars	Holger, Holmfrid
31 mars	Ester
1 april	Harald, Hervor
2 april	Gudmund, Ingemund
3 april	Ferdinand, Nanna
4 april	Marianne, Marlene
5 april	Irene, Irja
6 april	Vilhelm, William
7 april	Irma, Irmelin
8 april	Nadja, Tanja
9 april	Otto, Ottilia
10 april	Ingvar, Ingvor
11 april	Ulf, Ylva
12 april	Liv
13 april	Artur, Douglas
14 april	Tiburtius
15 april	Olivia, Oliver
16 april	Patrik, Patricia
